"BP","Code","Duration","Signer","Question","QuestionType","MultiUnit","SpeakerOnLeft","DyadCode","Brows_YN.code","Brows_YN.relStart","Brows_YN.relStop","Brows_YN.dur","Head-mov_YN.code","Head-mov_YN.relStart","Head-mov_YN.relStop","Head-mov_YN.dur","Main-gloss_YN.code","Main-gloss_YN.relStart","Main-gloss_YN.relStop","Main-gloss_YN.dur","Main-gloss_RC.code","Main-gloss_RC.relStart","Main-gloss_RC.relStop","Main-gloss_RC.dur","Brows_RC.code","Brows_RC.relStart","Brows_RC.relStop","Brows_RC.dur","Head-mov_RC.code","Head-mov_RC.relStart","Head-mov_RC.relStop","Head-mov_RC.dur","Non-dom_YN.code","Non-dom_YN.relStart","Non-dom_YN.relStop","Non-dom_YN.dur","Non-dom_RC.code","Non-dom_RC.relStart","Non-dom_RC.relStop","Non-dom_RC.dur","Brows_MG.code","Brows_MG.relStart","Brows_MG.relStop","Brows_MG.dur","Head-mov_MG.code","Head-mov_MG.relStart","Head-mov_MG.relStop","Head-mov_MG.dur","Non-dom_MG.code","Non-dom_MG.relStart","Non-dom_MG.relStop","Non-dom_MG.dur","Brows_MZ.code","Brows_MZ.relStart","Brows_MZ.relStop","Brows_MZ.dur","Head-mov_MZ.code","Head-mov_MZ.relStart","Head-mov_MZ.relStop","Head-mov_MZ.dur","Main-gloss_MG.code","Main-gloss_MG.relStart","Main-gloss_MG.relStop","Main-gloss_MG.dur","Main-gloss_MZ.code","Main-gloss_MZ.relStart","Main-gloss_MZ.relStop","Main-gloss_MZ.dur","Non-dom_MZ.code","Non-dom_MZ.relStart","Non-dom_MZ.relStop","Non-dom_MZ.dur"
1,"P2C.mpeg",2920,"MZ",NA,NA,NA,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
1,"P3C.mpeg",2440,"MZ",NA,NA,NA,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
1,"P4C.mpeg",2720,"MZ",NA,NA,NA,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
1,"P5C.mpeg",1480,"MG",NA,NA,NA,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
1,"P6C.mpeg",1280,"MG",NA,NA,NA,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
1,"P7C.mpeg",2880,"MG",NA,NA,NA,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
1,"P8C.mpeg",1760,"MG",NA,NA,NA,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
1,"P9C.mpeg",2000,"MZ",NA,NA,NA,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
1,"P10C.mpeg",4280,"MZ",NA,NA,NA,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
1,"P11C.mpeg",4200,"MG",NA,NA,NA,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
1,"P12C.mpeg",5280,"MG",NA,NA,NA,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
1,"P13C.mpeg",6800,"MG",NA,NA,NA,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
1,"P14C.mpeg",1400,"MG",NA,NA,NA,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
1,"P15C.mpeg",3800,"MG",NA,NA,NA,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
1,"P16C.mpeg",1360,"MZ",NA,NA,NA,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
1,"P17C.mpeg",4600,"MG",NA,NA,NA,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
1,"P18C.mpeg",1480,"MZ",NA,NA,NA,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
1,"P19C.mpeg",2320,"MZ",NA,NA,NA,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
1,"P20C.mpeg",3200,"MZ",NA,NA,NA,"O","MM","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
